songtitle,artist,lyrics,target
Heart Like a Truck,Lainey Wilson,"I never stay in one place too long
A dirt road's singing me a siren song
I gotta find a field
I need to spin my wheels
I got a hankering for four wide tires
And I can't help it, it's the way I'm wired
'Fore you get too close
Boy, you need to know
I got a heart like a truck
",Country
Thought You Should Know,Morgan Wallen,"What's goin' on, mama?
Something just dawned on me
I ain't been home in some months
Been chasin' songs and women
Makin' some bad decisions
God knows I'm drinkin' too much
Yeah, I know you've been worrying 'bout me
You've been losin' sleep since '93
I thought you should know
That all those prayers you thought you wasted on me
Must've finally made their way on through",Country
Til You Can't,Cody Johnson,"You can tell your old man
You'll do some largemouth fishing another time
You just got too much on your plate to bait and cast a line
You can always put a rain check in his hand
'Til you can't
You can keep putting off forever with that girl who's heart you hold
Swearing that you'll ask some day further down the road
You can always put a diamond on her hand
'Til you can't",Country
Thank God,Kane Brown & Katelyn Brown,"I was lost
You found a way to bring me back
Needed forgiveness
You always gave me that
Girl, I'm a witness of your love
'Cause you don't be giving up
And it's crazy
How you saved me
Hand on the Bible
Don't know how I got you
But I couldn't ask for more
Girl, what we got's worth thanking God for",Country
Wasted on You,Morgan Wallen,"I don't always wake up in the mornin'
Pour myself a strong one
Ah, but when I get lonely I do
Your memory gets burnin'
Lean back on the bourbon
Sure as hell can't keep leanin' on you
Looks like I'm learnin' the hard way again
It's all my fault
Yeah, I dropped the ball
You're gone and I'm gone three sheets to the wind",Country
Dirt Road Anthem,Jason Aldean,"Yeah I'm chillin' on a dirt road
Laid back swervin' like I'm George Jones
Smoke rollin' out the window
An ice cold beer sittin' in the console
Memory lane up in the headlights
It's got me reminiscin' on them good times
I'm turning off of real life drivin', that's right
I'm hittin' easy street on mud tires",Country
Half of My Hometown,Kelsea Ballerini ft. Kenny Chesney,"Half of my high school fell in love
With the girl next door
In their daddy's Ford
Half of my main street's mini skirts
Half of my main street's dressed for church
It could use some rain
And a fresh coat of paint
Half of my hometown's still hangin' around
Still talkin' about that one touchdown
They're still wearin' red and black
""Go Bobcats"" while the other half",Country
Neon Moon,Brooks & Dunn,"When the sun goes down on my side of town
That lonesome feeling comes to my door
And the whole world turns blue
There's a rundown bar 'cross the railroad tracks
I got a table for two way in the back
Where I sit alone and think of losing you
I spend most every night",Country
Cover Me Up,Morgan Wallen,"A heart on the run
Keeps a hand on a gun
Can't trust anyone
I was so sure
What I needed was more
Tried to shoot out the sun
The days when we raged, we flew off the page
Such damage was done
But I made it through, 'cause somebody knew
I was meant for someone
So, girl, leave your boots by the bed
We ain't leaving this room
'Til someone needs medical help",Country
Something in the Orange,Zach Bryan,"It'll be fine by dusk light I'm tellin' you, baby
These things eat at your bones and drive your young mind crazy
But when you place your head between my collar and jaw
I don't know much but there's no weight at all
And I'm damned if I do and I'm damned if I don't
'Cause if I say I miss you I know that you won't",Country
She Had Me at Heads Carolina,Cole Swindell,"""Heads Carolina, tails California""
Maybe she'd fall for a boy from South Georgia
She's got the bar in the palm of her hand
And she's a '90s country fan like I am
Hey, I got a Chevy, she can flip a quarter
I'd drive her anywhere from here to California
When this song is over, I gotta find her",Country
Where the Wild Things Are,Luke Combs,"My big brother rode an Indian Scout
It was black like his jacket
American Spirit hangin' outta his mouth
Just like our daddy
He kicked started that bike one night and broke mama's heart
He pointed that headlight west
Out where the wild things are
He'd call me up every couple of weeks
From South California
Talk about the desert and the Joshua Tree
And his pretty girl stories",Country
Memory Lane,Old Dominion,"If I could buy a house on Memory Lane
I'd put my money down and I'd sign my name
On that little corner lot where it don't ever rain
And we'd stay good as new like a fresh coat of paint
You'd be mine
In the shine of a front porch light",Country
You Proof,Morgan Wallen,"Yeah, I've been throwin' down the whiskey
I oughta get my money back
And someone said it drowns a memory
Ah, but it ain't doing jack
Yeah, I've been sippin', I've been buzzin'
Shootin' doubles like it's nothin'
Ah, but nothin' makes you go away
I need something you proof
Somethin' stronger than I'm used to",Country
Small Town Boy,Dustin Lynch,"m a dirt road in the headlights
I'm a mama's boy, I'm a fist fight
Kinda county line, kinda cold beer
Little hat down, little John Deere
I kinda give a damn, I kinda don't care
You see that girl standing right there
She loves a small town boy like me",Country
Die a Happy Man,Thomas Rhett,"And I know that I can't ever tell you enough
That all I need in this life is your crazy love
If I never get to see the Northern Lights
Or if I never get to see the Eiffel Tower at night
Oh, if all I got is your hand in my hand",Country
I Hope,Gabby Barrett,"I hope you both feel the sparks by the end of the drive
I hope you know she's the one by the end of the night
I hope you never ever felt more free
Tell your friends that you're so happy
I hope she comes along and wrecks every one of your plans
I hope you spend your last dime to put a rock on her hand
I hope she's wilder than your wildest dreams",Country
Save Me,Jelly Roll ft. Lainey Wilson,"Somebody save me, me from myself
I've spent so long living in Hell
They say my lifestyle is bad for my health
It's the only thing that seems to help
All of this drinkin' and smokin' is hopeless
But feel like it's all that I need
Somethin' inside of me's broken
I hold on to anything that sets me free
I'm a lost cause
Baby, don't waste your time on me
I'm so damaged beyond repair",Country
Hell of a View,Eric Church,"I was no daddy's dream
Was not your mama's prayer
But I was your first and your
Last ticket outta there
I caught your wings on fire
When I smoked my Bronco tires
Outta that town
I'm good at rollin' dice
No good at standing still
You liked the thought of chasin'
Life instead of dollar bills
We're livin' wreckless
Nothin' to catch us, baby
But the ground",Country
She’s in Love with the Boy,Trisha Yearwood,"Katie's sittin' on her old front porch
Watchin' the chickens peck the ground
There ain't a whole lot goin' on tonight
In this one horse town
Over yonder comin' up the road
In a beat up Chevy truck
Her boyfriend Tommy is laying on the horn
Splashing through the mud and the muck
",Country
We Were,Keith Urban,"We were just a couple years short of the age
By my name on a fake ID
And still 'bout a hundred away from the day
Your daddy said you could run with me
We were a couple of line steppers
Who just couldn't wait to step over the line
Never thinkin' we wouldn't last",Country
Never Say Never,Cole Swindell & Lainey Wilson,"I told my mama
I told my friends
When it comes to her
When it comes to him
Never again
Last time was the last time
That time nearly did us in
Yeah, too much drama
Girl, you're a match
You're gasoline
We just burn too fast
So here we are
Lighting up that spark",Country
Girl in a Country Song,Maddie & Tae,"Bein' the girl in a country song
How in the world did it go so wrong?
Like all we're good for is lookin' good for
You and your friends on the weekend, nothin' more
We used to get a little respect
Now we're lucky if we even get
To climb up in your truck, keep our mouth shut and ride along",Country
Tennessee Whiskey,Chris Stapleton,"Used to spend my nights out in a barroom
Liquor was the only love I'd known
But you rescued me from reachin' for the bottom
And brought me back from being too far gone
You're as smooth as Tennessee whiskey
You're as sweet as strawberry wine
You're as warm as a glass of brandy",Country
Shut Up and Dance,WALK THE MOON,"""Oh, don't you dare look back
Just keep your eyes on me""
I said, ""You're holding back""
She said, ""Shut up and dance with me""
This woman is my destiny
She said, ooh-ooh, shut up and dance with me
We were victims of the night
The chemical, physical kryptonite
Helpless to the bass and the fading light",Rock
Somebody Told Me,The Killers,"Breakin' my back just to know your name
Seventeen tracks and I've had it with this game
A breakin' my back just to know your name
But Heaven ain't close in a place like this
Anything goes but don't blink, you might miss
'Cause Heaven ain't close in a place like this",Rock
Take Me Out,Franz Ferdinand,"So if you're lonely
You know I'm here waiting for you
I'm just a cross-hair
I'm just a shot away from you
And if you leave here
You leave me broken, shattered I lie
I'm just a cross-hair
I'm just a shot, then we can die
Ah-ah-ah
I know I won't be leaving here
With you",Rock
Mr. Brightside,The Killers,"Comin' out of my cage and I've been doin' just fine
Gotta, gotta be down because I want it all
It started out with a kiss, how did it end up like this?
It was only a kiss, it was only a kiss
Now I'm falling asleep and she's calling a cab
While he's having a smoke and she's taking a drag",Rock
Seven Nation Army,The White Stripes,"I'm gonna fight 'em off
A seven nation army couldn't hold me back
They're gonna rip it off
Takin' their time right behind my back
And I'm talkin' to myself at night
Because I can't forget
Back and forth through my mind
Behind a cigarette
And the message comin' from my eyes
Says, ""Leave it alone""",Rock
Radioactive,Imagine Dragons,"I'm waking up to ash and dust
I wipe my brow and I sweat my rust
I'm breathing in the chemicals
I'm breaking in, shaping up
Then checking out on the prison bus
This is it, the apocalypse
Woah
I'm waking up, I feel it in my bones
Enough to make my system blow
Welcome to the new age, to the new age
Welcome to the new age, to the new age",Rock
It's Time,Imagine Dragons,"So this is what you meant
When you said that you were spent
And now it's time to build from the bottom of the pit
Right to the top
Don't hold back
Packing my bags and giving the academy a rain check
I don't ever wanna let you down
I don't ever wanna leave this town",Rock
Come a Little Closer,Cage the Elephant,"Time shakes, found you at the water
At first you were my father
Now I love you like a brother
Earthquakes shake the dust behind you
This world, at times will blind you
Still, I know I'll see you there
Come a little closer, then you'll see
Come on, come on, come on",Rock
Mountain Sound,Of Monsters and Men,"I heard them calling in the distance
So I packed my things and ran
Far away from all the trouble
I had caused with my two hands
Alone we traveled on with nothing but a shadow
We fled far away
Hold your horses now (we sleep until the sun goes down)",Rock
Little Talks,Of Monsters and Men,"I don't like walking around this old and empty house
So hold my hand, I'll walk with you my dear
The stairs creak as you sleep
It's keeping me awake
It's the house telling you to close your eyes
And some days I can't even dress myself
It's killing me to see you this way
'Cause though the truth may vary
This ship will carry our bodies safe to shore",Rock
Riptide,Vance Joy,"I was scared of dentists and the dark
I was scared of pretty girls and starting conversations
Oh, all my friends are turning green
You're the magician's assistant in their dream
Ah-ooh, ah
And they come unstuck
Lady, running down to the riptide
Taken away to the dark side
I wanna be your left-hand man",Rock
Pompeii,Bastille,"I was left to my own devices
Many days fell away with nothing to show
And the walls kept tumbling down in the city that we love
Grey clouds roll over the hills bringing darkness from above
But if you close your eyes
Does it almost feel like nothing changed at all?
And if you close your eyes",Rock
Ho Hey,The Lumineers,"I don't think you're right for him (Hey!)
Look at what it might have been if you (Ho!)
Took a bus to China Town (Hey!)
I'd be standin' on Canal (Ho!)
And Bowery (Hey! Ho!)
She'd be standin' next to me (Hey!)
I belong with you, you belong with me
You're my sweetheart
I belong with you, you belong with me
You're my sweetheart",Rock
Ophelia,The Lumineers,"I, I, when I was younger
I, I, should have known better
And I can't feel no remorse
And you don't feel nothing back
I, I, got a new girlfriend
She feels like he's on top
And I don't feel no remorse
And you can't see past my blinders
Oh, Ophelia
You've been on my mind girl since the flood",Rock
Ain't It Fun,Paramore,"I don't mind
Letting you down easy, but just give it time
If it don't hurt now then just wait, just wait a while
You're not the big fish in the pond no more
You are what they're feeding on
So what are you gonna do
When the world don't orbit around you?
So what are you gonna do",Rock
Still Into You,Paramore,"Can't count the years on one hand that we've been together
I need the other one to hold you
Make you feel, make you feel better
It's not a walk in the park to love each other
But when our fingers interlock
Can't deny, can't deny you're worth it
'Cause after all this time
I'm still into you",Rock
Hard Times,Paramore,"All that I want
Is to wake up fine
Tell me that I'm alright
That I ain't gonna die
All that I want
Is a hole in the ground
You can tell me when it's alright
For me to come out
gonna make you wonder why you even try
(Hard times) gonna take you down and laugh when you cry
(These lives) and I still don't know how I even survive",Rock
The Middle,Jimmy Eat World,"Hey, don't write yourself off yet
It's only in your head, you feel left out
Or looked down on
Just try your best
Try everything you can
And don't you worry what they tell themselves
When you're away
It just takes some time
Little girl, you're in the middle of the ride
Everything, everything'll be just fine
Everything, everything'll be alright, alright",Rock
Dirty Little Secret,The All-American Rejects,"Let me know that I've done wrong
When I've known this all along
I go around a time or two
Just to waste my time with you
Tell me all that you've thrown away
Find out games you don't wanna play
You are the only one
That needs to know",Rock
Gives You Hell,The All-American Rejects,"Now, where's your picket fence, love?
And where's that shiny car?
And did it ever get you far?
You never seemed so tense, love
I've never seen you fall so hard
Do you know where you are?
And truth be told, I miss you (I miss you)
And truth be told, I'm lyin'",Rock
I Write Sins Not Tragedies,Panic! At The Disco,"I chime in
""Haven't you people ever heard of closing the goddamn door?""
No, it's much better to face these kinds of things
With a sense of
Well, in fact
Well, I'll look at it this way
I mean, technically, our marriage is saved
Well, this calls for a toast
So pour the champagne",Rock
"This Ain't a Scene, It's an Arms Race",Fall Out Boy,"I'm a leading man
And the lies I weave are oh so intricate
Oh so intricate
I'm a leading man
And the lies I weave are oh so intricate
Oh so intricate, yeah
I wrote the gospel on giving up
Look pretty sinking
But the real bombshells have already sunk
Prima Donnas of the gutter",Rock
"Sugar, We're Goin Down",Fall Out Boy,"Am I more than you bargained for yet?
I've been dying to tell you
Anything you wanna hear
'Cause that's just who I am this week
Lie in the grass next to the mausoleum
I'm just a notch in your bedpost, but you're just a line in a song
(Notch in your bedpost, but you're just a line in a song)",Rock
The Anthem,Good Charlotte,"Yeah
Here we go
It's a new day
But it all feels old
It's a good life
That's what I'm told
But everything, it all just feels the same
And my high school
It felt more to me
Like a jail cell
A penitentiary
My time spent there, it only made me see",Rock
I Miss You,blink-182,"Hello, there
The angel from my nightmare
The shadow in the background of the morgue
The unsuspecting victim
Of darkness in the valley
We can live like Jack and Sally if we want
Where you can always find me
And we'll have Halloween on Christmas
And in the night, we'll wish this never ends
We'll wish this never ends",Rock
All the Small Things,blink-182,"All the small things
True care, truth brings
I'll take one lift
Your ride, best trip
Always, I know
You'll be at my show
Watching, waiting
Commiserating
Say it ain't so, I will not go
Turn the lights off, carry me home
Late night, come home
Work sucks, I know
She left me roses by the stairs
Surprises let me know she cares",Rock
My Own Worst Enemy,Lit,"Please tell me why
My car is in the front yard, and I'm
Sleepin' with my clothes on
I came in through the window last night
And you're long gone, gone
It's no surprise to me, I am my own worst enemy
'Cause every now and then, I kick the livin' shit out of me
The smoke alarm is goin' off, and there's a cigarette
Still burnin'",Rock
Are You Gonna Be My Girl,Jet,"So one, two, three
Take my hand and come with me
Because you look so fine
That I really wanna make you mine
I said, you look so fine
That I really wanna make you mine
Oh, four, five, six
Come on and get your kicks
Now you don't need that money
When you look like that, do ya, honey?",Rock
Rock,Stepz,"You hear this beat, uh, comin' like heavy metal, raow
If you got a business, bro, please, set it in stone like rock, rock
I came with a brand-new bottle
Like, man have guys all shot, don't like Uzi, but this ting rocks, rocks, ro-ro-rocks
Oi, I know you wanna hear some hi-hats, tit-tit tat to the tot",Rock
Use Somebody,Kings of Leon,"I've been roamin' around, always lookin' down at all I see
Painted faces fill the places I can't reach
You know that I could use somebody
You know that I could use somebody
Someone like you and all you know and how you speak
Countless lovers under cover of the street",Rock
Dog Days Are Over,Florence + The Machine,"The dog days are over, oh
The dog days are done
Can you hear the horses?
'Cause here they come
The dog days are over, oh
The dog days are done
Can you hear the horses?
'Cause here they come
The dog days are over, oh
The dog days are done",Rock
Shake It Out,Florence + The Machine,"Regrets collect like old friends
Here to relive your darkest moments
I can see no way, I can see no way
And all of the ghouls come out to play
And every demon wants his pound of flesh
But I like to keep some things to myself
I like to keep my issues drawn",Rock
The Sound,The 1975,"Well I know when you're around 'cause I know the sound
I know the sound, of your heart
Well I know when you're around 'cause I know the sound
I know the sound, of your heart
I can't believe I forgot your name
Oh baby won't you come again?
She said ""I've got a problem with your shoes and your tunes",Rock
Chocolate,The 1975,"Hey now, call it a split because I know that you will
Oh-oh, you bite your friend like chocolate
You said we go where nobody know
With guns hidden under our petticoat
No, we're never gonna quit it, no, we're never gonna quit it, no
Now we run, run away from the boys in the blue",Rock
Sweater Weather,The Neighbourhood,"Both your hands in the holes of my sweater
And if I may just take your breath away
I don't mind if there's not much to say
Sometimes the silence guides a mind
To move to a place so far away
The goosebumps start to raise
The minute that my left hand meets your waist",Rock
Fluorescent Adolescent,Arctic Monkeys,"You used to get it in your fishnets
Now you only get it in your night dress
Discarded all the naughty nights for niceness
Landed in a very common crisis
Everything's in order in a black hole
Nothing seems as pretty as the past though
That Bloody Mary's lacking in Tabasco
Remember when you used to be a rascal?",Rock
Do I Wanna Know?,Arctic Monkeys,"Have you got colour in your cheeks?
Do you ever get that fear that you can't shift the type
That sticks around like summat in your teeth?
Are there some aces up your sleeve?
Have you no idea that you're in deep?
I've dreamt about you nearly every night this week
How many secrets can you keep?",Rock
505,Arctic Monkeys,"I'm going back to 505
If it's a seven hour flight or a forty-five minute drive
In my imagination, you're waitin' lyin' on your side
With your hands between your thighs
Stop and wait a sec
When you look at me like that, my darlin', what did you expect?
I'd probably still adore you with your hands around my neck",Rock
No One Knows,Queens of the Stone Age,"We get some rules to follow
That and this, these and those
No one knows
We get these pills to swallow
How they stick in your throat?
Tastes like gold
Oh, what you do to me
No one knows
And I realize you're mine
Indeed a fool am I
And I realize you're mine
Indeed a fool am I",Rock
Everlong,Foo Fighters,"Come down, and waste away with me
Down with me
Slow, how you wanted it to be
I'm over my head, out of her head, she sang
And I wonder
When I sing along with you
If everything could ever feel this real forever
If anything could ever be this good again",Rock
Location,Khalid,"At times I wonder why I fool with you
But this is new to me, this is new to you
Initially, I didn't wanna fall for you
Gather my attention it was all for you, so don't
Take advantage, don't leave my heart damaged
I understand that things go a little bit better when ",R&B
Talk,Khalid,"Yeah, started off right
I can see it in your eyes
I can tell that you're wantin' more
What's been on your mind?
There's no reason we should hide
Tell me somethin' I ain't heard before
Oh, I've been dreamin' 'bout it
And it's you I'm on
So stop thinkin' 'bout i",R&B
Electric,Alina Baraz ft. Khalid,"Covered in your water and I'm feeling like a summer breeze
Submitted under power and you brought me to my knees
Use me, you're electric, babe
Move me, take me all the way
Whisper in my ear, I'm the only one you're loving on
Take advantage of the moment, you're the only one that I want",R&B
Boo’d Up,Ella Mai,"Feelings, so deep in my feelings
No, this ain't really like me
Can't control my anxiety
Feeling, like I'm touching the ceiling
When I'm with you, I can't breathe
Boy, you do something to me
Ooh, no, I'll never get over you until I find something new
That get me high like you do",R&B
Trip,Ella Mai,"I put my feelings on safety
So I don't go shootin' where your heart be
'Cause you take the bullet tryna save me
Then I'm left to deal with makin' you bleed
And that's a whole lotta love, ain't tryna waste it
Like we be runnin' a mile to never make it",R&B
Nights,Frank Ocean,"Round your city, 'round the clock
Everybody needs you
No, you can't make everybody equal
Although you got beaucoup family
You don't even got nobody bein' honest with you
Breathe 'til I evaporated
My whole body see-through
Transportation, handmade (G)
And I know it better than most people
I don't trust 'em anyways",R&B
Get You,Daniel Caesar ft. Kali Uchis,"Through drought and famine, natural disasters
My baby has been around for me
Kingdoms have fallen, angels be callin'
None of that could ever make me leave, yeah
Every time I look into your eyes, I see it
You're all I need
Every time I get a bit inside, I feel it",R&B
Best Part,Daniel Caesar ft. H.E.R.,"You're the coffee that I need in the morning
You're my sunshine in the rain when it's pouring
Won't you give yourself to me
Give it all, oh
I just wanna see
I just wanna see how beautiful you are
You know that I see it
I know you're a star
Where you go I follow
No matter how far",R&B
Focus,H.E.R.,"Hands in the soap
Have the faucet's running
And I keep looking at you
Stuck on your phone
And you're stuck in your zone
You don't have a clue
But I don't wanna give up
Baby, I just want you to get up
Lately I've been a little fed up
Wish you would just focus on
Me",R&B
Damage,H.E.R.,"If you got it, it ain't a question
Ooh, it ain't no room for guessing
No more than emotionally invested (no, no)
Showing you all my imperfections, oh
If I let you, you'll take me for granted, yeah
If I'm worth more than you could manage, manage, yeah
Open with me, oh, we could be honest",R&B
Leave the Door Open,Silk Sonic,"What you doing? (What you doing?)
Where you at? (Where you at?)
Oh, you got plans? (You got plans?)
Don't say that 
I'm sipping wine (sip, sip) in a robe (drip, drip)
I look too good (look too good) to be alone (woo-woo)
My house clean (house clean)
My pool warm (pool warm)",R&B
Smokin Out The Window,Silk Sonic,"Diamonds on her neck, diamonds on her wrists
And here I am all alone (All alone)
I'm so cold, I'm so cold
You got me out here
Smokin' out the window (Smokin' out the window)
Singin', ""How could she do this to me?""
Oh, I thought that girl belonged to only me (Mmm)
But I was wrong",R&B
Say So,PJ Morton ft. JoJo,"It's getting hard for me to hold my own
See, nobody wants to be in love alone
So I'm trying my best not to overreact
But I need to know right now, no lies, just facts
So if you love me, just say so
'Cause I can't play these games with you no more
So if you love me, just say so",R&B
The Way,Ariana Grande ft. Mac Miller,"On a scale of one to ten, I'm at a hundred
Never get enough, I can't stay away
If you want what I got, I got it every day
You can get whatever you need from me
Stay by your side, I'll never leave ya
And I ain't goin' nowhere 'cause you're a keeper",R&B
Good Days,SZA,"
I try to keep from losin' the rest of me
I worry that I wasted the best of me on you, babe
You don't care
Said, ""Not tryna be a nuisance, this is urgent""
Tryna make sense of loose change
Got me a war in my mind
Gotta let go of weight, can't keep what's holdin' me
Choose to watch while the world break up in front of me",R&B
Snooze,SZA,"I can't lose when I'm with you
How can I snooze and miss the moment?
You just too important
Nobody do body like you do
I can't lose when I'm with you
I can't just snooze and miss the moment
You just too important
Nobody do body like you do, you do",R&B
Kill Bill,SZA,"I'm still a fan even though I was salty
Hate to see you with some other broad, know you happy
Hate to see you happy if I'm not the one drivin'
I'm so mature, I'm so mature
I'm so mature, I got me a therapist to tell me there's other men
I don't want none, I just want you
If I can't have you, no one should",R&B
Saturn,SZA,"If there's another universe
Please make some noise (Noise)
Give me a sign (Sign)
This can't be life
If there's a point to losing love
Repeating pain (Why?)
It's all the same (Same)
I hate this place
Stuck in this paradigm
Don't believe in paradise
This must be what Hell is like
There's got to be more, got to be more",R&B
Self Control,Frank Ocean,"Keep a place for me, for me
I'll sleep between y'all, it's nothing
It's nothing, it's nothing
Keep a place for me, for me
Now and then, you miss it, sounds make you cry
Some nights, you dance with tears in your eyes
I came to visit, 'cause you see me like a UFO",R&B
Come Through,H.E.R. ft. Chris Brown,"If I could, I would take the pain away
I don't see that smile I made
You already made plans that ain't with me
Tryin' hard, I been tryin' hard to breathe
Inhale, exhale, you expel what you been doin' to me
Fightin' it off, you been fightin' me off for weeks
Don't leave, 'cause I need ya",R&B
I Like That,Janelle Monáe,"Sometimes a mystery, sometimes I'm free
Depending on my mood or my attitude
Sometimes I wanna roll or stay at home
Walking contradiction, guess I'm factual and fiction
A little crazy, little sexy, little cool
Little rough around the edges, but I keep it smooth
I'm always left of center and that's right where I belong
I'm the random minor note you hear in major songs",R&B
Summer Rain,Leon Bridges,"You're speaking a language no one speaks
In a room that don't exist
I'm just gonna shut up
And bear witness
You are everything
Wanna feel you all around
Baby, let your summer rain
Keep coming down
Don't stop now
Don't stop now, now, now
Forty days and forty nights
Wrapped in covers drenched in white
And it's getting warmer like a sauna",R&B
River,Leon Bridges,"Been travelling these wide roads
For so long
My heart's been far from you
Ten thousand miles gone
Oh, I wanna come near and give
Every part of me
But there's blood on my hands
And my lips are unclean
In my darkness I remember
Momma's words reoccur to me
""Surrender to the good Lord
And he'll wipe your slate clean""",R&B
Let Me Love You,Mario,"Baby, I just don't get it, do you enjoy bein' hurt?
I know you smelled the perfume, the makeup on his shirt
You don't believe his stories, you know that they're all lies
Bad as you are, you stick around and I just don't know why
If I was your man, baby, you'd never worry 'bout what I do",R&B
So Sick,Ne-Yo,"Gotta change my answering machine
Now that I'm alone
'Cause right now it says that we
Can't come to the phone
And I know it makes no sense
'Cause you walked out the door
But it's the only way I hear your voice anymore
(It's ridiculous)
It's been months
And for some reason I just (Can't get over us)
And I'm stronger than this, yeah (Enough is enough)",R&B
Miss Independent,Ne-Yo,"Cause she walk like a boss, talk like a boss
Manicured nails to set the pedicure off
She's fly effortlessly
And she move like a boss, do what a boss do
She got me thinking about getting involved
That's the kinda girl I need, oh
She got her own thing
That's why I love her
Miss independent",R&B
Take You There,H.E.R.,"Can I tell you something, for what it's worth?
With you, Heaven is a place on Earth
And I will take you there, I'll take you
Show you something, give you more than words
With you, Heaven is a place on Earth
And I will take you there, I'll take you there
Take you there",R&B
Say It,Tory Lanez,"You gon' have to do more than just (Say it)
You gon' have to do less when you (Do it)
So mama you know I (Show it)
Always want you to (Prove it)
You gon' have to do more than just (Say it)
You gon' have to do less when you (Do it)
So mama you know I (Show it)
So you gon' need to more than just (Prove it)",R&B
Heartbreak Anniversary,Giveon,"Balloons are deflated
Guess they look lifeless like me
We miss you on your side of the bed, mmm
Still got your things here
And they stare at me like souvenirs
Don't wanna let you out my head
Just like the day that I met you, the day I thought forever
Said that you love me, but that'll last for never",R&B
Like I Want You,Giveon,"I guess it's overdue
Tell me your point of view
Tell me, am I to blame?
You're so good with change, hm-hm-mm
A table set for two
You got me waitin' but you ain't comin' through
Try to stay patient but gotta face the truth, mm-mm-mm
Oh, woah-woah
See you face to face (See you face to face), I'm thinking 'bout the days we used to be ",R&B
All to Me,Giveon,"If this what you want, baby, okay
He give you his all but you have no patience (Patience, patience)
You made the call so I ain't complainin'
Back on your way
Wait, oh, oh-oh, you can't do it anymore
I understand just where he went wrong
So I got your hands where they don't belong (Where they don't belong)",R&B
Remember,Mac Miller,"It's a dark science when your friends start dyin'
Like, ""How could he go? He was part-lion""
Life goes on, the tears all dried and
Couple years are gone by by then, uh
Can you please help me find my friend?
I give you anything you need multiplied by ten
I heard he moved to a place where the time don't end",R&B
U Got It Bad,Usher,"When you say that you love 'em and you really know
Everything that used to matter don't matter no more
Like my money, all my cars (You can have it all and)
Flowers, cards and candy (I do it just 'cause I'm)
Said I'm fortunate to have you, girl
",R&B
There Goes My Baby,Usher,"And girl, I feel like it's our first time every time we get together
Baby, loving you feels better than
Everything (Everything), anything (Anything)
Put on my heart (Put on my heart), you don't need a ring
And I promise
Our time away won't change my love 
There goes my baby (There she go, oh, whoa)",R&B
Superstar,Usher,"Spotlights (Spotlights), big stage
Fifty thousand fans screamin' in a rage
Bodyguards (Bodyguards) and limousines
This is the way I see you in my dreams
Paparazzi flash, a hundred pictures, all of you
Hangin' on my bedroom wall
I'm a kid again, I feel like thirteen
But I knew since we fell in love, girl, I'd be",R&B
Angel of Mine,Monica,"When I first saw you, I already knew
There was something inside of you
Something I thought that I would never find
Angel of mine
I look at you looking at me
Now I know why they say the best things are free
I'm gonna love you, boy, you are so fine
Angel of mine",R&B
The Boy Is Mine,Brandy & Monica,"I think it's time we got this straight
Let's sit and talk face to face
There is no way you could mistake
Him for your man, are you insane?
You see, I know that you may be
Just a bit jealous of me
But you're blind if you can't see
That his love is all in me
You see, I tried to hesitate
I didn't wanna say what he told me",R&B
No One,Alicia Keys,"I just want you close
Where you can stay forever
You can be sure
That it will only get better
You and me together
Through the days and nights
I don't worry 'cause
Everything's gonna be alright
People keep talking, they can say what they like
But all I know is everything's gonna be alright",R&B
If I Ain't Got You,Alicia Keys,"Some people live for the fortune
Some people live just for the fame
Some people live for the power, yeah
Some people live just to play the game
Some people think that the physical things
Define what's within
And I've been there before, but that life's a bore
So full of the superficial",R&B
Ordinary People,John Legend,"Girl, I'm in love with you
But this ain't the honeymoon
We're passed the infatuation phase
We're right in the thick of love
At times we get sick of love
It seems like we argue every day
I know I misbehaved
And you've made your mistakes
And we both still got room left to grow",R&B
